"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Toward Interpretability in Fault Diagnosis for Autonomous Vehicles: Interpretation of Sensor Data Anomalies","Y. Fang; H. Min; X. Wu; X. Lei; S. Chen; R. Teixeira; X. Zhao","School of Information Engineering, Chang’an University, Xi’an, China; School of Information Engineering, Chang’an University, Xi’an, China; School of Information Engineering, Chang’an University, Xi’an, China; School of Information Engineering, Chang’an University, Xi’an, China; School of Information Engineering, Chang’an University, Xi’an, China; School of Civil Engineering, University College Dublin, Dublin, Ireland; School of Information Engineering, Chang’an University, Xi’an, China",IEEE Sensors Journal,"28 Feb 2023","2023","23","5","5014","5027","To guarantee the safety and reliability of autonomous driving applications, it is indispensable to construct a proper fault diagnosis framework tailored to autonomous vehicles. Fault diagnosis aims to provide essential information about the system operational status and its interpretation facilitates decision-making and mitigates the potential operation risks. In the present work, interpretability issue in fault diagnosis for autonomous vehicles is discussed from the sensor data analytics perspective. Environmental impact is first evaluated using the noise energy as a measure to interpret the impact on sensor data caused by the environment. A signal quality indicator is proposed and Savitzky–Golay filters are applied for online denoising, acting as a countermeasure to mitigate the impact and to enhance the data quality. Then, the adversarial learned denoising shrinkage autoencoder (ALDSAE), an adversarial learning neural network, is constructed for sensor data anomaly detection. It considers an adversarial training technique to improve the performance of the anomaly detector. A residual explainer specific to the ALDSAE model is employed to calculate the contribution of each input feature to the anomaly score in order to interpret the anomaly detection results. Several experiments with the collected data from an autonomous vehicle in a real test field are implemented to validate the effectiveness of the proposed approaches. Results show that the area under the ROC curve (AUC_ROC) of the proposed ALDSAE is over 20% higher in average than several traditional anomaly detectors, and the mean explanation accuracy of the residual explainer achieves similar performance with the widely employed kernel Shapley additive explanation (SHAP) with more than 99% reduction in mean response time.","1558-1748","","10.1109/JSEN.2023.3236838","National Key Research and Development Programs of China(grant numbers:2021YFB2501205); National Natural Science Foundation of China(grant numbers:61903046,52172325); Shaanxi Key Research and Development Program(grant numbers:2021GY-290); Natural Science Foundation of Shaanxi Province(grant numbers:2022JQ-663); Special Fund for Basic Scientific Research of Central Colleges(grant numbers:300102242103); Youth Talent Lift Project of Shaanxi Association for Science and Technology(grant numbers:20200106); China Scholarship Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10022031","Autonomous vehicles;environmental impact quantification;fault diagnosis;sensor data anomaly interpretation","Sensors;Anomaly detection;Autonomous vehicles;Fault diagnosis;Safety;Feature extraction;Noise measurement","","14","","52","IEEE","19 Jan 2023","","","IEEE","IEEE Journals"
"An Empirical Study of Fault Detection Effectiveness of Metamorphic Testing for Object Detectors","K. Qiu; S. Wang; P. -L. Poon","School of Electrical Engineering and Automation, Hefei University of Technology, Hefei, China; School of Electrical Engineering and Automation, Hefei University of Technology, Hefei, China; School of Engineering and Technology, Central Queensland University, Melbourne, VIC, Australia",2023 10th International Conference on Dependable Systems and Their Applications (DSA),"14 Nov 2023","2023","","","751","758","Object detectors (ODs) have been applied in various fields to identify target objects in pictures and videos. A commonly used approach for validating ODs is to compare their outputs with manually labeled data, in which labeling is tedious and time-consuming. To alleviate this problem, Metamorphic Testing (MT) based methods can be used to generate test cases automatically for testing ODs. Our survey has identified two different types of MT-based methods: input driven and output driven. We also observed that their relative effectiveness in fault detection has not yet been studied and compared. Inspired by this observation, we performed an empirical study with different types of ODs to address this research gap. In our study, we proposed an evaluation framework involving three different fault detection effectiveness metrics. An important finding of our study is that the input driven MT-based methods have better fault detection performance than their output driven counterparts.","2767-6684","979-8-3503-0477-0","10.1109/DSA59317.2023.00107","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10314397","Object Detectors;Metamorphic Testing;Metamorphic Relation (MR);MR Classification;Failure Detection","Surveys;Measurement;Fault detection;Detectors;Object recognition;Labeling;Testing","","","","39","IEEE","14 Nov 2023","","","IEEE","IEEE Conferences"
"Assessment of Automated Driving Systems using real-life scenarios","E. de Gelder; J. -P. Paardekooper","TNO, Helmond, Netherlands; TNO, Helmond, Netherlands",2017 IEEE Intelligent Vehicles Symposium (IV),"31 Jul 2017","2017","","","589","594","More and more Advanced Driver Assistance Systems (ADAS) are entering the market for improving both safety and comfort by assisting the driver with their driving task. An important aspect in developing future ADAS and Automated Driving Systems (ADS) is testing and validation. Validating the failure rate of an ADS requires so many operational hours that testing in real time is almost impossible. One way to reduce this test load is virtual testing or hardware in-the-loop testing. The major challenge is to create realistic test cases that closely resemble the situation on the road. We present a way to use data of naturalistic driving to generate test cases for Monte-Carlo simulations of ADS. Because real-life data is used, the assessment allows to draw conclusions on how the ADS would perform in real traffic. The method, developed in EU AdaptIVe, is demonstrated by testing an Adaptive Cruise Control (ACC) system in scenarios where the predecessor of the ego vehicle is braking. We show that the probability of the occurrence of unsafe situations with the ACC system can be accurately and efficiently determined.","","978-1-5090-4804-5","10.1109/IVS.2017.7995782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7995782","","Vehicles;Testing;Monte Carlo methods;Kernel;Bandwidth;Sensors;Roads","","67","","21","IEEE","31 Jul 2017","","","IEEE","IEEE Conferences"
"A Global View on the Hard Skills and Testing Tools in Software Testing","R. Florea; V. Stray","Department of Informatics, University of Oslo, Oslo, Norway; Department of Informatics, University of Oslo, Oslo, Norway",2019 ACM/IEEE 14th International Conference on Global Software Engineering (ICGSE),"22 Aug 2019","2019","","","143","151","Developing software with high quality is challenging in distributed software development. The purpose of the current study is to investigate the testing skills and tools required in the ever-changing world of global software engineering, according to industrial needs. We analysed 500 job ads from 33 countries. The results show that a quarter of the testers and a fifth of developers are asked to work in distributed projects. The testers are asked to be highly skilled in a variety of test activities and tools, while the testing-skills demand for developers is low and somewhat vague. The profile of testers has a strong technical component in addition to the managerial one. Our findings show that employers need most that testers are competent in automated testing. Furthermore, the industry does not cover all aspects of testing with the demand for testers and developers. Surprisingly, neither role is asked to test the implementation of the general data protection requirements. Our study bridges the industrial needs and the practitioners' skill development process. Therefore, software testers can use our study as a reference point to enhance their skills. Employers should use our results to check their testing-skill coverage within the development teams. Tertiary education providers are encouraged to use our findings, to update the curriculum in the software development area.","","978-1-5386-9196-0","10.1109/ICGSE.2019.00035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8807575","Software testing skills, Software testing tools, Automated testing, Manual testing, Unit testing, Global Software Engineering, GDPR","Tools;Software;Software testing;Market research;Software engineering;Industries","","18","","52","IEEE","22 Aug 2019","","","IEEE","IEEE Conferences"
"The benefit of Simulation Test Application on the Development of Autonomous Driving System","C. -H. Yu; Y. -Z. Chen; I. -C. Kuo","Mechatronics and System Integration Technology Group Automotive Research and Testing Center (ARTC), Changhua County, Taiwan(R.O.C); Mechatronics and System Integration Technology Group Automotive Research and Testing Center (ARTC), Changhua County, Taiwan(R.O.C); Electronic Control Technology Gourp Automotive Research and Testing Center (ARTC), Changhua County, Taiwan(R.O.C)",2020 International Automatic Control Conference (CACS),"17 Dec 2020","2020","","","1","5","Advanced Driving Assistance System (ADAS) & Autonomous Driving System (ADS) are promptly developed as the demands on intelligent & secure transportation rise. For the mentioned system to get complex, the way to verify the function and evaluate the performance of it requires rigorous and comprehensive arrangement on test scenario settings. Meanwhile, the cost to build up the mentioned tests and the risks that the test personnel take may reach a new level if applying real car tests.To deal with these mentioned issues, the X-in-the-Loop(XiL) simulation test is adopted. In this paper, the benefit to apply simulation tests for ADS development will be introduced through the discussion about driving simulator appliance and test scenario construction. An ADS equipped with path following system and Automated Emergency Braking (AEB) system is set as a sample to be tested in the settled XiL to determine its efficacy of driving safety. According to the results, the requirements of ADS Development are met quite well - The system functionality is determined through each proposed tests. The cost of test equipment and hazards during the tests can thus be reduced.","","978-1-7281-7198-2","10.1109/CACS50047.2020.9289717","Ministry of Economic Affairs; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9289717","Simulation Test;Scenario Element Analysis;Driving Simulator;Autonomous Driving System","Analytical models;Transportation;Hazards;Personnel;Automobiles;Test equipment;Autonomous vehicles","","8","","10","IEEE","17 Dec 2020","","","IEEE","IEEE Conferences"
"EvoScenario: Integrating Road Structures into Critical Scenario Generation for Autonomous Driving System Testing","S. Tang; Z. Zhang; J. Zhou; Y. Zhou; Y. -F. Li; Y. Xue","University of Science and Technology of China, China; Kyushu University, Japan; University of Science and Technology of China, China; Nanyang Technological University, Singapore; Tsinghua University, China; University of Science and Technology of China, China",2023 IEEE 34th International Symposium on Software Reliability Engineering (ISSRE),"2 Nov 2023","2023","","","309","320","Autonomous Driving Systems (ADS) are safety-critical and require comprehensive testing before their deployment on public roads. Most existing testing approaches consist in generating scenarios that vary the behaviors of dynamic objects, while leaving a predefined road environment unchanged. Consequently, these approaches overlook the influence of different road structures on ADS safety, e.g., collisions can happen more frequently than usual on a merging road, because of the specific road structure. In this paper, we propose EvoScenario, a novel approach that integrates road structures into the generation of critical scenarios for exposing safety risks of ADS. Specifically, EvoScenario models a driving road as a sequence of road segments characterized in different aspects, such as their shapes and widths. Then, a test case is defined by concatenating the sequence of road segments and the sequence of dynamic object maneuvers. Inspired by EvoSuite that generates sequential method calls for Java unit testing, EvoScenario leverages the sequential models of test cases and constructs a multi-objective optimization framework to search for critical scenarios. We implement and demonstrate EvoScenario on an ADS provided by our industrial partner. Evaluation results show that EvoScenario can identify 6 types of safety violations, and outperform existing baseline testing approaches.","2332-6549","979-8-3503-1594-3","10.1109/ISSRE59848.2023.00054","Anhui Provincial Department of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10301222","autonomous driving systems;search-based testing;safety violations","System testing;Java;Shape;Roads;Merging;Safety;Software reliability","","5","","64","IEEE","2 Nov 2023","","","IEEE","IEEE Conferences"
"Tactical Safety Reasoning - A Case for Autonomous Vehicles","A. C. Serban; E. Poll; J. Visser","Radboud University, Nijmegen, The Netherlands; Radboud University, Nijmegen, The Netherlands; Radboud University, Nijmegen, The Netherlands",2018 IEEE 87th Vehicular Technology Conference (VTC Spring),"26 Jul 2018","2018","","","1","5","Self driving cars have recently attracted academia and industry interest. As planning algorithms become responsible for critical decisions, many questions concerning traffic safety arise. An increased automation level demands proportional impact on safety requirements, currently governed by the ISO 26262 standard. However, ISO 26262 sees safety as a functional property of a system and fails to cover emergent concerns related to autonomous decisions. In order to fill this gap we propose the field of tactical safety, which extends safety analysis to planning and execution of driving maneuvers, response to traffic events or autonomous system failures. It is meant to complement, not to replace functional safety properties of a system and allows the analysis of autonomous agents from a safe behavior point of view. We draw the requirements for tactical safety from an automotive standard which defines functional elements for advanced driving automation systems.","2577-2465","978-1-5386-6355-4","10.1109/VTCSpring.2018.8417887","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8417887","","Safety;Automation;Vehicles;Vehicle crash testing;ISO Standards;Planning","","5","","34","IEEE","26 Jul 2018","","","IEEE","IEEE Conferences"
"Implementing ViT Models for Traffic Sign Detection in Autonomous Driving Systems","P. Santhiya; I. J. Jebadurai; G. J. L. Paulraj; J. A; E. D. Jawahar; E. N. V","School of Computer Science and Tech., Karunya Institute of Tech. and Sci., Coimbatore, India; School of Computer Science and Tech., Karunya Institute of Tech. and Sci., Coimbatore, India; School of Computer Science and Tech., Karunya Institute of Tech. and Sci., Coimbatore, India; School of Computer Science and Tech., Karunya Institute of Tech. and Sci., Coimbatore, India; School of Computer Science and Tech., Karunya Institute of Tech. and Sci., Coimbatore, India; Dept. of CSE, Sri Shakthi Institute of Engg. and Tech., Coimbatore, India",2024 5th International Conference on Recent Trends in Computer Science and Technology (ICRTCST),"4 Jul 2024","2024","","","382","387","The advent of autonomous vehicles necessitates sophisticated visual recognition systems capable of interpreting traffic signs in real-time. Despite significant advancements, accurately detecting and recognizing traffic signs in diverse environmental conditions remains a challenge. Conventional methods, predominantly based on Convolutional Neural Networks (CNNs), have been integral in this domain but often struggle with complex scenarios and real-time processing demands. In response, this work proposes the utilization of Vision Transformers (ViT) as a novel approach to enhance detection and recognition performance. We leverage three distinct datasets: GTSRB, BelgiumTS, and a custom dataset curated under various weather conditions, totaling over 80,000 images across different classes. Our experimental results demonstrate a marked improvement in accuracy and inference speed, with ViT models outperforming traditional CNN architectures across standard benchmarks. Specifically, the ViT-Base model achieved an accuracy of 98.5% on the GTSRB dataset, showcasing its efficacy in real-world applications. The study concludes that ViT models, with their superior capability to process complex visual data, represent a promising direction for advancing the perceptual systems of autonomous vehicles, offering a viable solution to the real-time detection and recognition of traffic signs in varied conditions.","","979-8-3503-5137-8","10.1109/ICRTCST61793.2024.10578494","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10578494","Vision Transformers (ViT);Autonomous Vehicles;Real-Time Traffic Sign Detection;Traffic Sign Recognition;Deep Learning in Autonomous Driving","Road transportation;Visualization;Accuracy;Benchmark testing;Transformers;Real-time systems;Convolutional neural networks","","","","30","IEEE","4 Jul 2024","","","IEEE","IEEE Conferences"
"Structured Testing Framework for ADAS Algorithm Development","S. Fernando; A. Khan; R. Fraser; W. Melek","Mechanical and Mechatronics Engineering University of Waterloo Waterloo, Canada; Electrical and Computer Engineering University of Waterloo Waterloo, Canada; Mechanical and Mechatronics Engineering University of Waterloo Waterloo, Canada; Mechanical and Mechatronics Engineering University of Waterloo Waterloo, Canada",2023 IEEE International Automated Vehicle Validation Conference (IAVVC),"29 Nov 2023","2023","","","1","6","Formalized software testing is becoming increasingly common for software teams. However, existing frameworks suffer from test development that is inflexible and tedious to update as the software stack itself changes. Additionally, the time and resources spent in creating test cases can often be a deterrent for continual test case development. This paper proposes a testing framework, called structured testing, that works at both integration and system test levels in ROS 2. Though primarily built for ADAS/AV development, it is flexible to adaption for other domains. It focuses on intuitive test specification and a simulator agnostic input in the form of ROS bag files. Additionally, though integrated with Gitlab's CI tool as an example, it is integrable with any similar standard CI tool for test automation. The framework is compared to the standard ROS 2 integration testing protocol and shows comparative improvements in ease of use as well as a reduction in compute resource consumption.","","979-8-3503-2253-8","10.1109/IAVVC57316.2023.10328120","U.S. Department of Energy; NSERC(grant numbers:CRDP J-537104-2018); GM Canada; University of Waterloo EcoCAR team; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10328120","integration testing;system testing;Robotic Operating System 2 (ROS 2)","Software testing;Protocols;Automation;Operating systems;Full stack;Software;Standards","","","","16","IEEE","29 Nov 2023","","","IEEE","IEEE Conferences"
"Requirements-Driven Test Generation for Autonomous Vehicles With Machine Learning Components","C. E. Tuncali; G. Fainekos; D. Prokhorov; H. Ito; J. Kapinski","Toyota, Ann Arbor, USA; School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, USA; Toyota, Ann Arbor, USA; Toyota, Ann Arbor, USA; Toyota, Ann Arbor, USA",IEEE Transactions on Intelligent Vehicles,"25 May 2020","2020","5","2","265","280","Autonomous vehicles are complex systems that are challenging to test and debug. A requirements-driven approach to the development process can decrease the resources required to design and test these systems, while simultaneously increasing the reliability. We present a testing framework that uses signal temporal logic (STL), which is a precise and unambiguous requirements language. Our framework evaluates test cases against the STL formulae and additionally uses the requirements to automatically identify test cases that fail to satisfy the requirements. One of the key features of our tool is the support for machine learning (ML) components in the system design, such as deep neural networks. The framework allows evaluation of the control algorithms, including the ML components, and it also includes models of CCD camera, lidar, and radar sensors, as well as the vehicle environment. We use multiple methods to generate test cases, including covering arrays, which is an efficient method to search discrete variable spaces. The resulting test cases can be used to debug the controller design by identifying controller behaviors that do not satisfy requirements. The test cases can also enhance the testing phase of development by identifying critical corner cases that correspond to the limits of the system's allowed behaviors. We present STL requirements for an autonomous vehicle system, which capture both component-level and system-level behaviors. Additionally, we present three driving scenarios and demonstrate how our requirements-driven testing framework can be used to identify critical system behaviors, which can be used to support the development process.","2379-8904","","10.1109/TIV.2019.2955903","NSF(grant numbers:CNS 1446730,CNS 1350420); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8911483","Autonomous vehicles;cyber-physical systems;system validation;system verification","Sensors;Autonomous vehicles;Laser radar;Test pattern generators;Charge coupled devices;Closed loop systems","","72","","72","IEEE","25 Nov 2019","","","IEEE","IEEE Journals"
"Air Data Sensor Fault Detection and Diagnosis in the Presence of Atmospheric Turbulence: Theory and Experimental Validation With Real Flight Data","P. Lu; E. -J. van Kampen; C. de Visser; Q. Chu","Department of Mechanical Engineering, The University of Hong Kong, Hong Kong, China; Control and Simulation Division, Faculty of Aerospace Engineering, Delft University of Technology, Delft, HS, The Netherlands; Control and Simulation Division, Faculty of Aerospace Engineering, Delft University of Technology, Delft, HS, The Netherlands; Control and Simulation Division, Faculty of Aerospace Engineering, Delft University of Technology, Delft, HS, The Netherlands",IEEE Transactions on Control Systems Technology,"5 Aug 2021","2021","29","5","2255","2263","Managing air data sensor fault detection and diagnosis (FDD) in the presence of atmospheric turbulence is challenging since the effects of faults and turbulence are coupled. Existing FDD approaches cannot decouple the faults from the turbulence. To address this challenge, this brief first proposes a novel kinematic model that incorporates the effects of the turbulence. This model is valid inside the entire flight envelope, and there is no need to design a linear parameter varying system. Then, the double-model adaptive estimation algorithm is extended to achieve unbiased state estimation even in the presence of unknown disturbances. The proposed approach is validated using generated turbulence data with various scale lengths and intensities. More importantly, the proposed approach is successfully validated using the real flight test data of a business jet when it is experiencing atmospheric turbulence.","1558-0865","","10.1109/TCST.2020.3025725","Foundation Committee of Basic and Applied Basic Research of Guangdong Province(grant numbers:2019A1515011252); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9211802","Air data sensor (ADS) fault detection;atmospheric turbulence;disturbances;double-model adaptive estimation (DMAE);fault detection and diagnosis (FDD);real flight data","Atmospheric modeling;Aircraft;Atmospheric measurements;Fault detection;Fault diagnosis","","5","","29","IEEE","2 Oct 2020","","","IEEE","IEEE Journals"
"Taming Functional Deficiencies of Automated Driving Systems: a Methodology Framework toward Safety Validation","M. Chen; A. Knapp; M. Pohl; K. Dietmayer","Daimler AG, Sindelfingen, Germany; Daimler AG, Sindelfingen, Germany; Daimler AG, Sindelfingen, Germany; Institute of Measurement, Control and Microtechnology, Ulm University, Ulm, Germany",2018 IEEE Intelligent Vehicles Symposium (IV),"21 Oct 2018","2018","","","1918","1924","Safety is one of the key aspects of road vehicles. With applications of machine learning and artificial intelligence (AI) technologies, driver assistance and automated driving systems have been rapidly developed. This paper identifies one of the emerging safety issues of automated driving systems: functional deficiencies resulting from limited sensing abilities and algorithmic performance. Safety validation problem and challenges for some methodologies provided by ISO 26262 are addressed. To this end, we provide a methodology framework for identifying functional deficiencies during system development. A novel methodology based on possibility theory and a fuzzy relation model, Causal Scenario Analysis (CSA), is introduced as one essential part in this framework. A traffic light handling case study is presented.","1931-0587","978-1-5386-4452-2","10.1109/IVS.2018.8500679","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8500679","","ISO Standards;Uncertainty;Hazards;Machine learning;Vehicles;Possibility theory","","3","","30","IEEE","21 Oct 2018","","","IEEE","IEEE Conferences"
"Validating Simulation Environments for Automated Driving Systems Using 3D Object Comparison Metric","A. Wallace; S. Khastgir; X. Zhang; S. Brewerton; B. Anctil; P. Burns; D. Charlebois; P. Jennings","WMG, University of Warwick, Coventry, UK; WMG, University of Warwick, Coventry, UK; WMG, University of Warwick, Coventry, UK; RDM Group Ltd., 33, Bilton Industrial Estate, Coventry, UK; Dominique Charlebois are with Transport Canada, 330 Sparks St., Ottawa, ON, Canada; Dominique Charlebois are with Transport Canada, 330 Sparks St., Ottawa, ON, Canada; Dominique Charlebois are with Transport Canada, 330 Sparks St., Ottawa, ON, Canada; WMG, University of Warwick, Coventry, UK",2022 IEEE Intelligent Vehicles Symposium (IV),"19 Jul 2022","2022","","","860","866","One of the main challenges for the introduction of Automated Driving Systems (ADSs) is their verification and validation (V&V). Simulation based testing has been widely accepted as an essential aspect of the ADS V&V processes. Simulations are especially useful when exposing the ADS to challenging driving scenarios, as they offer a safe and efficient alternative to real world testing. It is thus suggested that evidence for the safety case for an ADS will include results from both simulation and real-world testing. However, for simulation results to be trusted as part of the safety case of an ADS for its safety assurance, it is essential to prove that the simulation results are representative of the real world, thus validating the simulation platform itself. In this paper, we propose a novel methodology for validating the simulation environments focusing on comparing point cloud data from real LiDAR sensor and a simulated LiDAR sensor model. A 3D object dissimilarity metric is proposed to compare between the two maps (real and simulated), to quantify how accurate the simulation is. This metric is tested on collected LiDAR point cloud data and the simulated point cloud generated in the simulated environment.","","978-1-6654-8821-1","10.1109/IV51971.2022.9827354","Transport Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9827354","simulation based testing;validation & verification;automated driving system behaviour;validation of simulation;point cloud","Point cloud compression;Measurement;Solid modeling;Histograms;Laser radar;Three-dimensional displays;Intelligent vehicles","","7","","31","IEEE","19 Jul 2022","","","IEEE","IEEE Conferences"
"Study on the Impact of Situational Explanations and Prior Information Given to Users on Trust and Perceived Intelligence in Autonomous Driving in a Video-based 2x2 Design","K. Kühnlenz; B. Kühnlenz","Department of Electrical Engineering and Computer Science, Robotics Research Lab, Coburg University of Applied Sciences and Arts, Coburg, Germany; Academic Center for Sciences and Humanities, Coburg University of Applied Sciences and Arts, Coburg, Germany",2023 32nd IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),"13 Nov 2023","2023","","","1509","1513","In this paper, results from a video-based study on the influence of prior information given to users and explanations situationally given by the vehicle itself on trust and perceived intelligence are presented using a simulated autonomous vehicle in an ambiguous driving situation. A 2x2 between-subjects design is chosen with two independent variables ‘prior information’ (extended/short) and ‘explanations’ (yes/no) with users pseudo-randomly assigned to one of the four conditions. Significant results from 189 test persons reveal, that trust depends on how the capabilities of the intelligent vehicle are explained a priori and not on situational explanations, while perceived intelligence is influenced by both variables. Additional interactions of prior information and user gender is noted with respect to perceived intelligence. As one side effect, it is found, that male users felt significantly more safe than female users with also higher ratings of intention to use the vehicle independently of given information and explanations. Another side effect is that situational explanations lead to better ratings of subjective performance, while also here a significant interaction of gender and prior information is noted. Thus, contrary to expectations, a dominant role of continuous situational explanations (Explainable AI) of the intelligent vehicle for increasing trust is not confirmed and the extent of given prior information seems the deciding factor for initial trust building, which is an important aspect for the introduction of new intelligent technology into society. This is remarkable as at the same time perceived intelligence seems to be dependent on both variables. So it appears, that a vehicle being able to explain its actions may well appear more intelligent, but not necessarily appear more trustworthy.","1944-9437","979-8-3503-3670-2","10.1109/RO-MAN57019.2023.10309319","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10309319","","Simulation;Buildings;User experience;Safety;Artificial intelligence;Autonomous vehicles;Robots","","1","","21","IEEE","13 Nov 2023","","","IEEE","IEEE Conferences"
"A Comparison of Transformer and AR-SI Oracle For Control-CPS Software Fault Localization","S. Zhang; W. Liu; Q. Wang; L. Bu; Y. Pei","The Hong Kong Polytechnic University, Hong Kong, China; Nanjing University, Nanjing, China; The Hong Kong Polytechnic University, Hong Kong, China; Nanjing University, Nanjing, China; The Hong Kong Polytechnic University, Hong Kong, China",2023 IEEE 29th International Conference on Embedded and Real-Time Computing Systems and Applications (RTCSA),"3 Nov 2023","2023","","","95","100","Control-CPSs are usually safety or mission critical, hence they demand thorough debugging. As nowadays control-CPSs reaching millions of lines of source code, traditional human-flesh debugging is no longer sufficient. We need automated software fault localization (SFL) to assist the debugging. In automated SFL, automatically generated test cases are fed to the control-CPS (or the simulator of the control-CPS), to generate thousands of cyber-subsystem code traces and physical-subsystem trajectories. Next, another automated program, aka oracle, is needed to label the correctness of these physical-subsystem trajectories (and hence cyber-subsystem code traces), even without knowing if there is a bug in the cyber-subsystem. Control-CPS oracle design is a known hard problem. To our best knowledge, AR-SI oracle (denoted as AO in the following) is the most widely adopted control-CPS oracle so far. On the other hand, recently, transformer emerges as a major game changer in the domain of time series prediction. As AO is also time series prediction based, people naturally wonder if transformers can also be used as control-CPS oracles; and if so, can it outperform AO. In this paper, we answer this question by comparing AO with an intuitive design of transformer control-CPS oracle (simplified as TO in the following). Our comparison results show that in terms of SFL accuracy and latency, the TO does not significantly outperform the AO; in terms of false positive rate, the AO performs significantly better; and in terms of false negative rate, the TO performs significantly better.","2325-1301","979-8-3503-3786-0","10.1109/RTCSA58653.2023.00020","Jiangsu Natural Science Foundation(grant numbers:BK20202001); National Natural Science Foundation of China(grant numbers:6223200862172200); Fundamental Research Funds for the Central Universities(grant numbers:020214380101); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10296308","Software Fault Localization;control-CPS;transformer;Oracle","Location awareness;Codes;Source coding;Time series analysis;Computer bugs;Training data;Debugging","","","","26","IEEE","3 Nov 2023","","","IEEE","IEEE Conferences"
"A Fault Diagnosis Framework for Autonomous Vehicles Based on Hybrid Data Analysis Methods Combined with Fuzzy PID Control","Y. Fang; C. Cheng; Z. Dong; H. Min; X. Zhao","School of Information Engineering, Chang’an University, Xi’an, China; School of Information Engineering, Chang’an University, Xi’an, China; Department of Transportation Information Engineering, Henan College of Transportation, Zhengzhou, China; School of Information Engineering, Chang’an University, Xi’an, China; School of Information Engineering, Chang’an University, Xi’an, China",2020 3rd International Conference on Unmanned Systems (ICUS),"7 Dec 2020","2020","","","281","286","This paper presents a fault diagnosis framework for autonomous vehicles on the basis of several hybrid data analysis approaches and fuzzy Proportional Integral Derivative (PID) control method. The framework consists of sensor monitor cluster, novel anomaly detector and actuator fault testing cluster. The Discrete Wavelet Transform (DWT) are used for denoising and feature extracting when constructing the sensor monitor. The extreme learning machine based autoencoder (ELM_AE) are applied for novel anomaly detection. Further, system approximation using neural networks and actuator fault testing via fuzzy PID control are presented. Contributions are as follow: 1) An algorithm using DWT with slide window is proposed for fatal sensor fault detection, which considers the sequential arrival characteristic of the sensor data; 2) Combining the neural network and fuzzy PID control for actuator fault testing, which solves the problem of fault location from the perspective of control. Experiments on the real autonomous vehicle platform `Xinda' and related simulations validate the effectiveness of the proposed approaches in this fault diagnosis framework.","","978-1-7281-8025-0","10.1109/ICUS50048.2020.9274856","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274856","fault diagnosis;autonomous vehicles;discrete wavelet transform;extreme learning machine based autoencoder;system approximation;fuzzy PID control","Germanium;Transportation;Transforms;Testing;Discrete wavelet transforms;Actuators;PI control","","7","","15","IEEE","7 Dec 2020","","","IEEE","IEEE Conferences"
